code,country,region,population,area,pop_density,coastline,net_migration,infant_mortality,gdp,literacy,phones,arable,crops,other,climate,birthrate,deathrate,agriculture,industry,service,latitude,longitude
GUY,Guyana,LATINAMER.&CARIB,767245,214970,"3,6","0,21","-2,07","33,26",4000,"98,8","143,5","2,44","0,15","97,41",2,"18,28","8,28","0,37",203,427,"4,860416","-58,93018"
HTI,Haiti,LATINAMER.&CARIB,8308504,27750,"299,4","6,38","-3,4","73,45",1600,"52,9","16,9","28,3","11,61","60,09",2,"36,44","12,17","0,28","0,2","0,52","18,971187","-72,285215"
HND,Honduras,LATINAMER.&CARIB,7326496,112090,"65,4","0,73","-1,99","29,32",2600,"76,2","67,5","9,55","3,22","87,23",2,"28,24","5,28",139,312,549,"15,199999","-86,241905"
HKG,HongKong,ASIA(EX.NEAREAST),6940432,1092,"6355,7","67,12","5,24","2,97",28800,"93,5","546,7","5,05","1,01","93,94",2,"7,29","6,29",1,92,906,"22,396428","114,109497"
HUN,Hungary,EASTERNEUROPE,9981334,93030,"107,3",0,"0,86","8,57",13900,"99,4","336,2","50,09","2,06","47,85",3,"9,72","13,11",37,312,651,"47,162494","19,503304"
ISL,Iceland,WESTERNEUROPE,299388,103000,"2,9","4,83","2,38","3,31",30900,"99,9","647,7","0,07",0,"99,93",3,"13,64","6,72",86,"0,15",765,"64,963051","-19,020835"
IND,India,ASIA(EX.NEAREAST),1095351995,3287590,"333,2","0,21","-0,07","56,29",2900,"59,5","45,4","54,4","2,74","42,86","2,5","22,01","8,18",186,276,538,"20,593684","78,96288"
IDN,Indonesia,ASIA(EX.NEAREAST),245452739,1919440,"127,9","2,85",0,"35,6",3200,"87,9",52,"11,32","7,23","81,45",2,"20,34","6,25",134,458,408,"-0,789275","113,921327"
IRN,Iran,ASIA(EX.NEAREAST),68688433,1648000,"41,7","0,15","-0,84","41,58",7000,"79,4","276,4","8,72","1,39","89,89",1,17,"5,55",116,424,"0,46","32,427908","53,688046"
IRQ,Iraq,NEAREAST,26783383,437072,"61,3","0,01",0,"50,25",1500,"40,4","38,6","13,15","0,78","86,07",1,"31,98","5,37",73,666,261,"33,223191","43,679291"
IRL,Ireland,WESTERNEUROPE,4062235,70280,"57,8","2,06","4,99","5,39",29600,98,"500,5","15,2","0,03","84,77",3,"14,45","7,82","0,05","0,46","0,49","53,41291","-8,24389"
IMN,IsleofMan,WESTERNEUROPE,75441,572,"131,9","27,97","5,36","5,93",21000,,676,9,0,91,3,"11,05","11,19","0,01","0,13","0,86","54,236107","-4,548056"
ISR,Israel,NEAREAST,6352117,20770,"305,8","1,31","0,68","7,03",19800,"95,4","462,3","16,39","4,17","79,44",3,"17,97","6,18",26,317,657,"31,046051","34,851612"
ITA,Italy,WESTERNEUROPE,58133509,301230,193,"2,52","2,07","5,94",26700,"98,6","430,9","27,79","9,53","62,68",,"8,72","10,4",21,291,688,"41,87194","12,56738"
